class,motor_id,peak,trough,mean,RMS,Crest_Factor
1,1,0.50853,-0.7197,0.2287112890625,0.28444207272403793,1.7878156881994365
1,1,0.50853,-0.68132,0.227289609375,0.2826518751996991,1.7991389572091592
1,1,0.54691,-0.68132,0.2248911328125,0.2781619095319363,1.96615705191371
1,1,0.50853,-0.68132,0.231561640625,0.2871605653228913,1.7708907886714695
1,1,0.54571,-0.68252,0.22476042968749999,0.2781641446799836,1.9618272535729466
1,1,0.50733,-0.68252,0.23138386718749998,0.28716016868109184,1.7667143821865474
1,1,0.50733,-0.68252,0.22577124999999998,0.27950625552033714,1.815093544348549
1,1,0.50733,-0.64414,0.22442191406249998,0.27772782639537014,1.8267164892500574
1,1,0.50838,-0.68147,0.2259182421875,0.2795077915345396,1.8188401733236765
1,1,0.50838,-0.64309,0.2245687890625,0.27773555519721116,1.8304462301883373
1,1,0.54676,-0.68147,0.226520859375,0.27688844028185566,1.9746580949476673
1,1,0.58514,-0.68147,0.2259948828125,0.2808290562870554,2.083616302872473
1,1,0.54807,-0.68016,0.2266854296875,0.27687925334557506,1.9794549189857489
1,1,0.58645,-0.68016,0.22616968750000002,0.28082833865025536,2.0882863987966935
1,1,0.50969,-0.68016,0.221420078125,0.2753658089506802,1.8509560135379364
1,1,0.54807,-0.68016,0.2233734765625,0.275626950540859,1.988448513197021
1,1,0.50883,-0.68102,0.2213258984375,0.2753571342330663,1.8478911084588747
1,1,0.54721,-0.68102,0.22321875000000002,0.2756344542326961,1.9852743065931604
1,1,0.50883,-0.64264,0.21862726562499998,0.2725824075050516,1.8667015404894398
1,1,0.54721,-0.68102,0.22724999999999998,0.28339418215843815,1.9309147274380862
1,1,0.50838,-0.64309,0.2185778515625,0.27258293022133073,1.8650470870909188
1,1,0.54676,-0.68147,0.22719703125000001,0.2833929880635612,1.9293349625057383
1,1,0.58514,-0.68147,0.22539468750000002,0.28093191785054883,2.082853399061921
1,1,0.50838,-0.71985,0.23221828125,0.2868380663016809,1.7723589011554457
1,1,0.58514,-0.68147,0.22539468750000002,0.28093191785054883,2.082853399061921
1,1,0.50838,-0.71985,0.23221828125,0.2868380663016809,1.7723589011554457
1,1,0.54676,-0.75824,0.2347673828125,0.2915338909483499,1.875459481645198
1,1,0.54676,-0.75824,0.23363265625000001,0.2886273112388513,1.8943460258600855
1,1,0.54736,-0.75764,0.2348426171875,0.29152641544455815,1.8775657058908806
1,1,0.54736,-0.75764,0.233740859375,0.28863649243577116,1.8963645081080704
1,1,0.54736,-0.79602,0.231987265625,0.28586066600897325,1.914778999300373
1,1,0.50898,-0.71925,0.22936691406249998,0.2844859934415983,1.7891214742861767
1,1,0.54792,-0.79546,0.23204890625,0.285862167103746,1.9167279306364002
1,1,0.50954,-0.71869,0.2294323046875,0.28448326525433026,1.7911071132583747
1,1,0.54792,-0.79546,0.2316968359375,0.2878729707110684,1.9033395134200874
1,1,0.54792,-0.75707,0.2279331640625,0.27911702600357097,1.9630475712828424
1,1,0.54811,-0.79527,0.23172187499999997,0.2878727409404414,1.9040010464672639
1,1,0.54811,-0.75689,0.22795554687499997,0.27911761156953396,1.9637241695995757
1,1,0.54811,-0.68012,0.22979125,0.2809081698955417,1.9512070446502847
1,1,0.50973,-0.64174,0.2172379296875,0.26826537818294893,1.900096104285136
1,1,0.54777,-0.68046,0.22974078125,0.28090698174896345,1.9500049325563666
1,1,0.50939,-0.64208,0.2172189453125,0.2682670203237054,1.8988170792866848
1,1,0.50939,-0.68046,0.2152916015625,0.2703379585504098,1.8842710906430635
1,1,0.50939,-0.68046,0.2244412890625,0.2748668482256738,1.853224582332227
1,1,0.50819,-0.68166,0.2150856640625,0.27032761807362443,1.8799041090266744
1,1,0.50819,-0.68166,0.22433859374999998,0.27487836427426177,1.8487813740515058
1,1,0.50819,-0.72004,0.224093046875,0.2751473407685985,1.846974056083619
1,1,0.54657,-0.68166,0.22372718749999998,0.2722984999384866,2.007245725273817
1,1,0.50845,-0.71978,0.224130703125,0.275150748897309,1.8478961152664797
1,1,0.54683,-0.6814,0.2237582421875,0.27229812377346063,2.0082033339860144
1,1,0.50845,-0.71978,0.218435,0.2653084969692122,1.9164482321838459
1,1,0.54683,-0.6814,0.22585394531250003,0.27833892349090905,1.964619224439374
