class,peak,trough,mean,RMS,Crest_Factor
1,0.50853,-0.7197,0.2287112890625,0.2844420727240379,1.7878156881994365
1,0.50853,-0.68132,0.227289609375,0.2826518751996991,1.7991389572091592
1,0.54691,-0.68132,0.2248911328125,0.2781619095319363,1.96615705191371
1,0.50853,-0.68132,0.231561640625,0.2871605653228913,1.7708907886714695
1,0.54571,-0.68252,0.2247604296874999,0.2781641446799836,1.9618272535729464
1,0.50733,-0.68252,0.2313838671874999,0.2871601686810918,1.7667143821865474
1,0.50733,-0.68252,0.2257712499999999,0.2795062555203371,1.815093544348549
1,0.50733,-0.64414,0.2244219140624999,0.2777278263953701,1.8267164892500571
1,0.50838,-0.68147,0.2259182421875,0.2795077915345396,1.8188401733236763
1,0.50838,-0.64309,0.2245687890625,0.2777355551972111,1.8304462301883373
1,0.54676,-0.68147,0.226520859375,0.2768884402818556,1.9746580949476675
1,0.58514,-0.68147,0.2259948828125,0.2808290562870554,2.083616302872473
1,0.54807,-0.68016,0.2266854296875,0.276879253345575,1.9794549189857489
1,0.58645,-0.68016,0.2261696875,0.2808283386502553,2.088286398796693
1,0.50969,-0.68016,0.221420078125,0.2753658089506802,1.8509560135379364
1,0.54807,-0.68016,0.2233734765625,0.275626950540859,1.988448513197021
1,0.50883,-0.68102,0.2213258984375,0.2753571342330663,1.8478911084588747
1,0.54721,-0.68102,0.22321875,0.2756344542326961,1.9852743065931604
1,0.50883,-0.64264,0.2186272656249999,0.2725824075050516,1.86670154048944
1,0.54721,-0.68102,0.2272499999999999,0.2833941821584381,1.9309147274380865
1,0.50838,-0.64309,0.2185778515625,0.2725829302213307,1.8650470870909188
1,0.54676,-0.68147,0.22719703125,0.2833929880635612,1.9293349625057383
1,0.58514,-0.68147,0.2253946875,0.2809319178505488,2.082853399061921
1,0.50838,-0.71985,0.23221828125,0.2868380663016809,1.7723589011554457
1,0.58514,-0.68147,0.2253946875,0.2809319178505488,2.082853399061921
1,0.50838,-0.71985,0.23221828125,0.2868380663016809,1.7723589011554457
1,0.54676,-0.75824,0.2347673828125,0.2915338909483499,1.875459481645198
1,0.54676,-0.75824,0.23363265625,0.2886273112388513,1.8943460258600853
1,0.54736,-0.75764,0.2348426171875,0.2915264154445581,1.8775657058908808
1,0.54736,-0.75764,0.233740859375,0.2886364924357711,1.8963645081080704
1,0.54736,-0.79602,0.231987265625,0.2858606660089732,1.914778999300373
1,0.50898,-0.71925,0.2293669140624999,0.2844859934415983,1.7891214742861767
1,0.54792,-0.79546,0.23204890625,0.285862167103746,1.9167279306364
1,0.50954,-0.71869,0.2294323046875,0.2844832652543302,1.791107113258375
1,0.54792,-0.79546,0.2316968359375,0.2878729707110684,1.9033395134200877
1,0.54792,-0.75707,0.2279331640625,0.2791170260035709,1.9630475712828424
1,0.54811,-0.79527,0.2317218749999999,0.2878727409404414,1.904001046467264
1,0.54811,-0.75689,0.2279555468749999,0.2791176115695339,1.963724169599576
1,0.54811,-0.68012,0.22979125,0.2809081698955417,1.9512070446502847
1,0.50973,-0.64174,0.2172379296875,0.2682653781829489,1.900096104285136
1,0.54777,-0.68046,0.22974078125,0.2809069817489634,1.9500049325563664
1,0.50939,-0.64208,0.2172189453125,0.2682670203237054,1.8988170792866848
1,0.50939,-0.68046,0.2152916015625,0.2703379585504098,1.8842710906430635
1,0.50939,-0.68046,0.2244412890625,0.2748668482256738,1.853224582332227
1,0.50819,-0.68166,0.2150856640625,0.2703276180736244,1.8799041090266744
1,0.50819,-0.68166,0.2243385937499999,0.2748783642742617,1.8487813740515056
1,0.50819,-0.72004,0.224093046875,0.2751473407685985,1.846974056083619
1,0.54657,-0.68166,0.2237271874999999,0.2722984999384866,2.007245725273817
1,0.50845,-0.71978,0.224130703125,0.275150748897309,1.84789611526648
1,0.54683,-0.6814,0.2237582421875,0.2722981237734606,2.0082033339860144
1,0.50845,-0.71978,0.218435,0.2653084969692122,1.9164482321838456
1,0.54683,-0.6814,0.2258539453125,0.278338923490909,1.964619224439374
1,0.50781,-0.72042,0.2183552734375,0.2653116676952493,1.9140130715370451
1,0.5462,-0.68203,0.22575921875,0.2783408296888456,1.962342357787003
1,0.50781,-0.68203,0.22108765625,0.2716808576669623,1.8691416258060205
1,0.50781,-0.72042,0.23107578125,0.2842523322903437,1.786476107015044
1,0.50819,-0.68166,0.2211550390624999,0.2716846123229044,1.870514475056109
1,0.50819,-0.72004,0.2311341015624999,0.2842534038941145,1.7878062075531125
1,0.50819,-0.68166,0.2318175,0.2866267627112718,1.7730026156417076
1,0.50819,-0.75842,0.231445625,0.2856712542498588,1.7789329253111268
1,0.50875,-0.6811,0.2318925390624999,0.2866232064903819,1.7749783983980094
1,0.50875,-0.75786,0.2315159375,0.2856679338588009,1.780913920326331
1,0.50875,-0.6811,0.2235726562499999,0.279776866397302,1.8184133897530357
1,0.54713,-0.71948,0.2316012109375,0.2855745797148213,1.915891815533341
1,0.50871,-0.68113,0.2235680859375,0.27977721472224,1.8182681549140525
1,0.5471,-0.71952,0.231595,0.2855746615009921,1.9157862155011232
1,0.5471,-0.64275,0.2238654296875,0.2764295989806051,1.979165769575876
1,0.50871,-0.71952,0.22776140625,0.2820900350951802,1.8033604052279115
1,0.54683,-0.64301,0.22383234375,0.2764298780361734,1.978187032041602
1,0.50845,-0.71978,0.2277322265625,0.2820925408851621,1.8024227028639732
1,0.54683,-0.71978,0.2334983984375,0.2866183233447456,1.907868253566856
1,0.50845,-0.71978,0.22757890625,0.2798846153063012,1.816641473642845
1,0.54668,-0.71993,0.2334737890625,0.286616773485711,1.9073552233231537
1,0.5083,-0.71993,0.2275578125,0.2798844744976823,1.8161064521791088
1,0.5083,-0.75831,0.23385921875,0.2870978063227103,1.770476781103123
1,0.5083,-0.75831,0.23070234375,0.2853328720273481,1.7814281137270485
1,0.50886,-0.75775,0.23392953125,0.2870946419015753,1.7724468719776822
1,0.50886,-0.75775,0.23079046875,0.2853307656721625,1.7834038989846146
1,0.50886,-0.68098,0.2296590625,0.2812566015489125,1.8092375332619728
1,0.50886,-0.71937,0.22778734375,0.2832664320048905,1.7964006409033837
1,0.54777,-0.68046,0.2276971093749999,0.2839888702030745,1.928843195891096
1,0.58615,-0.68046,0.231647109375,0.2869816905064459,2.0424647961533786
1,0.54777,-0.71884,0.227804375,0.2866106910664599,1.9111987691798344
1,0.50939,-0.68046,0.2334501953125,0.2877625658169367,1.770174652682427
1,0.54616,-0.72045,0.227539609375,0.2865998294538375,1.9056536113116205
1,0.50778,-0.68207,0.233286328125,0.2877723152511374,1.7645199801685685
1,0.50778,-0.68207,0.2240031640625,0.2800358079691272,1.8132681091126055
1,0.50778,-0.68207,0.22952578125,0.2839778082755213,1.7880974681913913
1,0.50856,-0.68128,0.22407125,0.2800384445538237,1.81603636890025
1,0.50856,-0.68128,0.229619140625,0.2839824136555378,1.7908151193364672
1,0.58533,-0.71967,0.2277451171874999,0.2834602457514711,2.0649456450171804
1,0.50856,-0.68128,0.2235467578125,0.2775046204112814,1.8326181353170925
1,0.58503,-0.71997,0.2277076171875,0.2834643715893531,2.063857255569023
1,0.50826,-0.68158,0.2234951953125,0.2775041342280721,1.83154028106218
1,0.50826,-0.68158,0.2253040625,0.2800099455781102,1.8151498117348772
1,0.46988,-0.71997,0.2229730859375,0.276699340826233,1.6981608940481152
1,0.50826,-0.68158,0.2253040625,0.2800099455781102,1.8151498117348772
1,0.46988,-0.71997,0.2229730859375,0.276699340826233,1.6981608940481152
1,0.50826,-0.71997,0.223282265625,0.2804728460090878,1.812154036414389
1,0.54665,-0.71997,0.221241875,0.2798498452267528,1.953368955973758
1,0.50815,-0.72008,0.2232667187499999,0.2804735870279276,1.8117570548609336
1,0.54653,-0.72008,0.2212203515624999,0.2798504235671319,1.9529361186365888
1,0.50815,-0.72008,0.22512484375,0.2800702628694271,1.8143661336759165
1,0.50815,-0.6817,0.2222826953125,0.2748673301432495,1.8487100658167452
1,0.50785,-0.72038,0.2250732812499999,0.2800710256513068,1.8132900353365429
1,0.50785,-0.682,0.2222358203125,0.2748625435167833,1.8476508057526224
1,0.50785,-0.72038,0.2176103515624999,0.2726052513888271,1.862950172136025
1,0.50785,-0.682,0.2257868359374999,0.2798336865394615,1.8148279654257569
1,0.50845,-0.71978,0.2176853515625,0.272599724023871,1.8651889755966005
1,0.50845,-0.6814,0.2258571484375,0.2798331246258931,1.816975744668338
1,0.47007,-0.6814,0.2236808203125,0.2771781805782553,1.6959127122464313
1,0.50845,-0.64301,0.226453828125,0.2795447522060421,1.8188500981955125
1,0.47048,-0.68098,0.2237391796875,0.2771790127329437,1.6973868092000812
1,0.50886,-0.6426,0.226515,0.2795474759237015,1.820299032636896
1,0.50886,-0.6426,0.2169194921875,0.2722241119169725,1.869268656683875
1,0.50886,-0.68098,0.221726640625,0.2728217232862424,1.8651740553156324
1,0.5092,-0.64226,0.216968359375,0.2722243237361308,1.870516172146217
1,0.5092,-0.68065,0.221786015625,0.2728170033190746,1.866452581052884
1,0.5092,-0.68065,0.225274609375,0.2761789519538803,1.8437321033973373
1,0.5092,-0.71903,0.2247849609375,0.2821564809744042,1.8046723514608616
1,0.5083,-0.68155,0.225162734375,0.2761727833584778,1.840514455547259
1,0.5083,-0.71993,0.224624296875,0.2821589343902652,1.8014669678931732
1,0.46992,-0.68155,0.2226874218749999,0.2765372167369611,1.6993011123236348
1,0.46992,-0.64316,0.2098661328125,0.2652832869863777,1.771389390331741
1,0.47074,-0.68072,0.2227962109375,0.2765277434254732,1.702324671545547
1,0.47074,-0.64234,0.2099816015625,0.2652932456094871,1.7744138148655753
1,0.50913,-0.7191,0.21712546875,0.2750488671880076,1.8510528881836403
1,0.54751,-0.64234,0.2181572265625,0.2718587818905537,2.013950022848331
1,0.50924,-0.71899,0.217145078125,0.2750489532636077,1.851452237711092
1,0.54762,-0.64223,0.2181736718749999,0.2718575660516574,2.0143636535609355
1,0.47086,-0.68061,0.2133171093749999,0.2662516291059315,1.7684774421142135
1,0.50924,-0.71899,0.2103666796875,0.2648665813647092,1.9226283564206983
1,0.47086,-0.68061,0.2133171093749999,0.2662516291059315,1.7684774421142135
1,0.50924,-0.71899,0.2103666796875,0.2648665813647092,1.9226283564206983
1,0.50924,-0.68061,0.2116676953125,0.2640429270697226,1.928625794492617
1,0.54762,-0.68061,0.22057265625,0.2734097423011042,2.00292789639116
1,0.5083,-0.68155,0.211506953125,0.2640411585399613,1.925078661261332
1,0.54668,-0.68155,0.2204339453125,0.2734180691860394,1.9994289390875168
1,0.46992,-0.71993,0.22246453125,0.2751849113039721,1.707651766854766
1,0.5083,-0.71993,0.2284453125,0.2830444992523812,1.79583069567717
1,0.46977,-0.72008,0.22244578125,0.2751859122200389,1.7071004696794632
1,0.50815,-0.72008,0.2284171875,0.2830421353667484,1.7953157375016646
1,0.46977,-0.75846,0.2256531640625,0.280386627781483,1.6754365346057494
1,0.50815,-0.72008,0.228598984375,0.2807054965089079,1.8102602418541325
1,0.47093,-0.7573,0.225843515625,0.2803921701246087,1.6795404800024003
1,0.50931,-0.71892,0.2287262109374999,0.2806934009434549,1.8144708720907887
1,0.50931,-0.7573,0.2204107421874999,0.2706851855917278,1.8815584565022636
1,0.50931,-0.68053,0.215971640625,0.265572268573276,1.9177830679993328
1,0.50898,-0.75764,0.22037125,0.27068845985601,1.880316583391648
1,0.50898,-0.68087,0.215905546875,0.265570600588384,1.9165525057078276
1,0.50898,-0.71925,0.2165572265624999,0.2663939590500493,1.910628911462569
1,0.47059,-0.71925,0.2241974609374999,0.2746608689372962,1.713349272580338
1,0.50834,-0.71989,0.2164679296875,0.2663878506806089,1.90827021090194
1,0.46996,-0.71989,0.224117890625,0.2746671898037469,1.7110161586310773
1,0.50834,-0.71989,0.2137728125,0.263516440008375,1.9290637046547996
1,0.50834,-0.68151,0.2184903515625,0.2639107153226435,1.926181736798864
1,0.50744,-0.72079,0.213660390625,0.2635137508167861,1.9256680094573475
1,0.50744,-0.68241,0.218356875,0.2639142300599287,1.9227458856037136
1,0.50744,-0.60564,0.2175237109375,0.2679627562164948,1.893696001507108
1,0.46906,-0.68241,0.2195915234375,0.270028413258303,1.7370764592513748
1,0.50856,-0.60452,0.2176992578125,0.2679677344055098,1.8978404289167403
1,0.47018,-0.68128,0.2197236718749999,0.2700324269402079,1.7411982898783849
1,0.50856,-0.68128,0.2191236328125,0.268455702631534,1.8943907505590167
1,0.47018,-0.68128,0.217549453125,0.2682197429566264,1.7529656647088516
1,0.5086,-0.68125,0.21912859375,0.2684554832116607,1.894541299419092
1,0.47022,-0.68125,0.2175551171875,0.2682199705633127,1.7531133084999186
1,0.47022,-0.64286,0.221677578125,0.2731943446051157,1.721192291442459
1,0.54698,-0.68125,0.22490078125,0.2775671809332832,1.9706220244081143
1,0.46928,-0.6438,0.22153875,0.2731869720639488,1.7177978746737192
1,0.54605,-0.68218,0.2247829687499999,0.2775658783134307,1.967280716628266
1,0.50766,-0.72057,0.2294453515625,0.2808827091127462,1.8073736243985927
1,0.50766,-0.72057,0.228327421875,0.2761206363224686,1.8385442202412103
1,0.50819,-0.72004,0.2295025390624999,0.2808834482520341,1.809255771967047
1,0.50819,-0.72004,0.2283806640625,0.276117816982313,1.8404824634425985
1,0.46981,-0.68166,0.2233439453125,0.2770539739178485,1.6957345652053604
