class,motor_id,peak,trough,mean,RMS,Crest_Factor
0,1,0.54586,-0.64399,0.21281515625000003,0.25915229907304266,2.1063289886004375
0,1,0.43071,-0.49046,0.20158859375,0.236248192769212,1.8231250573872342
0,1,0.58424,-0.68237,0.22404546874999998,0.2665974756611665,2.1914686121879976
0,1,0.54586,-0.64399,0.2153314453125,0.2628577020261212,2.0766368867736498
0,1,0.58405,-0.68256,0.224040859375,0.2665964935637165,2.1907639976533004
0,1,0.54567,-0.64418,0.2153108984375,0.2628577350257942,2.0759138016100365
0,1,0.54567,-0.52903,0.2095378515625,0.24219998202753984,2.2529729169754997
0,1,0.58405,-0.64418,0.21999843749999998,0.2675702172371652,2.1827915155531596
0,1,0.54785,-0.52686,0.20952062499999996,0.24217063515151357,2.2622478553489307
0,1,0.58623,-0.642,0.220168203125,0.26760076466632154,2.190688807376861
0,1,0.50946,-0.642,0.20919781250000002,0.2538734695177895,2.0067476958804513
0,1,0.50946,-0.60362,0.2155319921875,0.24872579781052945,2.0482796898618805
0,1,0.50961,-0.64185,0.20921773437500002,0.2538736912693988,2.007336788037741
0,1,0.50961,-0.60347,0.2155331640625,0.24872394412923562,2.0488980334567604
0,1,0.58638,-0.64185,0.22661074218750002,0.27132470694075095,2.1611743604612004
0,1,0.548,-0.68023,0.20940160156249998,0.2560682502901143,2.140054455713036
0,1,0.58432,-0.64391,0.226481875,0.27130564404059354,2.1537332998224406
0,1,0.54593,-0.6823,0.2092083203125,0.25608533227395003,2.1318284618346888
0,1,0.58432,-0.56715,0.21610515624999999,0.2524655527926038,2.3144543623343696
0,1,0.66108,-0.64391,0.2275630078125,0.2691791994301554,2.4559104172963115
0,1,0.58417,-0.5673,0.21609093750000002,0.25246393540402456,2.313875045420399
0,1,0.66093,-0.64406,0.22755828125,0.2691795669265802,2.455349815538827
0,1,0.62255,-0.72083,0.217015390625,0.26293019121794714,2.3677387412842146
0,1,0.58417,-0.68245,0.2186579296875,0.26225079270986607,2.2275242486922826
0,1,0.6239,-0.71948,0.21702574218749998,0.2629205261345919,2.372960411925461
0,1,0.58552,-0.6811,0.21876324218749998,0.26226042974598146,2.2325899510159397
0,1,0.50875,-0.52757,0.218228046875,0.25355603462610093,2.0064598373697295
0,1,0.6239,-0.71948,0.2200269921875,0.2642255147456016,2.3612405509009826
0,1,0.50935,-0.52697,0.2182418359375,0.2535542973077032,2.008839942404421
0,1,0.6245,-0.71888,0.220040625,0.26422518060033806,2.363514327366879
0,1,0.58612,-0.60373,0.2238828515625,0.2647296599075472,2.214032232749037
0,1,0.50935,-0.60373,0.213099765625,0.25763244875967434,1.9770413333109826
0,1,0.5854,-0.60444,0.22384925781249998,0.2647266768490604,2.211337395111783
0,1,0.50864,-0.60444,0.21305507812500002,0.2576365766534082,1.9742538369629874
0,1,0.47026,-0.68121,0.2150776171875,0.2522606754454048,1.8641827513134341
0,1,0.62379,-0.64283,0.21927679687499999,0.2611420293543582,2.3887001320401953
0,1,0.46977,-0.6817,0.2150596484375,0.2522559075520767,1.862275514411962
0,1,0.6233,-0.64331,0.2192511328125,0.2611467430609237,2.3867806762368406
0,1,0.58492,-0.6817,0.2177516796875,0.2574539045809645,2.2719406837197664
0,1,0.58492,-0.60493,0.211311015625,0.2577430490378814,2.269391947458619
0,1,0.58507,-0.68155,0.2177598828125,0.2574557173915121,2.272507310879742
0,1,0.58507,-0.60478,0.211316875,0.2577411951227069,2.269990250186652
0,1,0.58507,-0.68155,0.2210503125,0.26813441643867025,2.1820026230531346
0,1,0.5083,-0.68155,0.21085890624999998,0.25585006913229474,1.9867104266333757
0,1,0.58443,-0.68218,0.22099523437500002,0.26813467167871075,2.1796136856940547
0,1,0.50766,-0.68218,0.210813828125,0.25585008152358485,1.9842088655078374
0,1,0.54605,-0.56704,0.2044086328125,0.2420521362671364,2.255918945484381
0,1,0.58443,-0.6438,0.2189521484375,0.2581401719988762,2.2640025203149876
0,1,0.54646,-0.56662,0.20441867187499999,0.2420511801042163,2.257621713576108
0,1,0.58484,-0.64339,0.21896136718750003,0.2581442778795477,2.2655547696195355
0,1,0.54646,-0.68177,0.2100778125,0.25874675366321026,2.1119492023126316
0,1,0.58484,-0.52824,0.2144787890625,0.2505916969308902,2.3338363048847985
0,1,0.54811,-0.68012,0.2102455859375,0.25873095906918325,2.1184554100981723
0,1,0.58649,-0.52659,0.2144662109375,0.2506050530146676,2.3402959874303626
0,1,0.62487,-0.68012,0.225015859375,0.26989414449523075,2.315241040774199
0,1,0.54811,-0.52659,0.207126484375,0.24967452992126818,2.1952980152714807
0,1,0.62375,-0.68125,0.22497203125,0.26988304231011345,2.311186337092162
0,1,0.54698,-0.52772,0.2070563671875,0.24969669558552055,2.1905776474829666
0,1,0.62375,-0.64286,0.21882449218750005,0.26193509857897646,2.381315079131834
0,1,0.58537,-0.71963,0.21957625,0.26611950364069287,2.1996508786156093
0,1,0.62292,-0.64369,0.218792578125,0.26192387595056843,2.37824825147884
0,1,0.58454,-0.72045,0.219505,0.266122871028356,2.196504185232978
0,1,0.54616,-0.56692,0.21300874999999997,0.25718563263751,2.1236022961274226
0,1,0.69969,-0.52854,0.2151255859375,0.25272327639309244,2.7686013333876054
0,1,0.54777,-0.56531,0.213248359375,0.25718636077208196,2.1298563359097904
0,1,0.7013,-0.52693,0.21517609375000002,0.25272255342754335,2.774979876107756
0,1,0.66292,-0.68046,0.223721640625,0.2677151384692785,2.4762140975306592
0,1,0.50939,-0.71884,0.21732640625,0.2613502344466377,1.9490703770690778
0,1,0.66273,-0.68065,0.22371574218749998,0.2677161165878128,2.4754953435260214
0,1,0.5092,-0.71903,0.2173087890625,0.26135043502974004,1.9483418879408263
0,1,0.66273,-0.52712,0.2123309765625,0.24804225341048877,2.6718431673947034
